timestamp,Message,data
2023-05-03T19:33:53,"{'eyeAct': 'neutral', 'uAct': 'frown', 'uPow': 1.0, 'lAct': 'smile', 'lPow': 0.65, 'time': 1683167633.6488}",
2023-05-03T19:33:53,"{'eyeAct': 'neutral', 'uAct': 'frown', 'uPow': 1.0, 'lAct': 'smile', 'lPow': 0.65, 'time': 1683167633.6801}",
2023-05-03T19:33:53,"{'mot': [16, 0, 0.975155, -0.0625, 0.203125, 0.0625, 1.000015, 0.156252, -0.187503, -76.563667, -23.851257, 38.281834], 'time': 1683167633.6488}",
2023-05-03T19:33:53,"{'mot': [10, 0, 0.461136, 0.453125, 0.4375, -0.625, 0.968765, 0.156252, -0.218753, -76.563667, -16.379436, 38.281834], 'time': 1683167633.5551}",
2023-05-03T19:33:53,"{'mot': [15, 0, 0.98994, -0.015625, 0.140625, 0.0, 0.968765, 0.156252, -0.187503, -76.563667, -22.24786, 38.281834], 'time': 1683167633.6332}",
2023-05-03T19:33:53,"{'mot': [14, 0, 0.561631, 0.4375, 0.375, -0.59375, 0.968765, 0.156252, -0.218753, -76.563667, -20.466307, 38.281834], 'time': 1683167633.6176}",
2023-05-03T19:33:53,"{'eyeAct': 'neutral', 'uAct': 'frown', 'uPow': 1.0, 'lAct': 'smile', 'lPow': 0.65, 'time': 1683167633.5863}",
2023-05-03T19:33:53,"{'mot': [13, 0, 0.72467, 0.15625, 0.609375, -0.28125, 0.968765, 0.156252, -0.187503, -76.563667, -18.486803, 38.281834], 'time': 1683167633.6019}",
2023-05-03T19:33:53,"{'mot': [12, 0, 0.635651, 0.296875, 0.5625, -0.4375, 1.000015, 0.156252, -0.187503, -76.563667, -20.540892, 38.281834], 'time': 1683167633.5863}",
2023-05-03T19:33:53,"{'eyeAct': 'neutral', 'uAct': 'frown', 'uPow': 1.0, 'lAct': 'smile', 'lPow': 0.65, 'time': 1683167633.5551}",
