timestamp,Message
2023-05-03T19:33:52.892753Z,"{'mot': [27, 0, 0.986728, -0.03125, 0.15625, 0.03125, 1.000015, 0.125002, -0.218753, -76.563667, -21.085609, 38.281834], 'time': 1683167632.8207}"
2023-05-03T19:33:52.892935Z,"{'mot': [28, 0, 0.969506, -0.078125, 0.21875, 0.078125, 1.000015, 0.125002, -0.187503, -76.563667, -18.977049, 38.281834], 'time': 1683167632.8363}"
2023-05-03T19:33:52.893097Z,"{'mot': [29, 0, 0.938541, -0.03125, 0.34375, 0.0, 1.000015, 0.125002, -0.218753, -76.563667, -20.907526, 38.281834], 'time': 1683167632.8519}"
2023-05-03T19:33:52.893222Z,"{'eyeAct': 'neutral', 'uAct': 'frown', 'uPow': 1.0, 'lAct': 'smile', 'lPow': 0.65, 'time': 1683167632.8363}"
2023-05-03T19:33:52.894353Z,"{'mot': [30, 0, 0.767218, 0.25, 0.46875, -0.359375, 1.000015, 0.125002, -0.187503, -76.563667, -22.644958, 38.281834], 'time': 1683167632.8676}"
2023-05-03T19:33:52.894506Z,"{'mot': [31, 0, 0.73004, 0.1875, 0.578125, -0.3125, 1.000015, 0.125002, -0.187503, -76.563667, -24.208645, 38.281834], 'time': 1683167632.8832}"
2023-05-03T19:33:52.894624Z,"{'eyeAct': 'neutral', 'uAct': 'frown', 'uPow': 1.0, 'lAct': 'smile', 'lPow': 0.65, 'time': 1683167632.8676}"
2023-05-03T19:33:52.934822Z,"{'mot': [32, 0, 0.557924, 0.375, 0.515625, -0.53125, 1.000015, 0.156252, -0.187503, -76.563667, -25.615965, 38.281834], 'time': 1683167632.8988}"
2023-05-03T19:33:52.935005Z,"{'mot': [33, 0, 0.924387, -0.0625, 0.375, 0.03125, 1.000015, 0.125002, -0.187503, -76.563667, -23.054367, 38.281834], 'time': 1683167632.9144}"
2023-05-03T19:33:52.935153Z,"{'mot': [34, 0, 0.73004, 0.1875, 0.578125, -0.3125, 1.000015, 0.125002, -0.187503, -76.563667, -20.748932, 38.281834], 'time': 1683167632.9301}"
