Message,timestamp,data
"{'pow': [5.719, 9.516, 4.11, 2.245, 0.802, 5.134, 1.839, 0.685, 0.502, 0.207, 10.004, 8.248, 5.38, 2.744, 0.788, 7.5, 9.764, 5.686, 3.122, 0.667, 4.629, 10.575, 3.249, 2.86, 0.533], 'time': 1683167633.0551}",2023-05-03 19:33:53.075101+00:00,500.4742563561665 499.86174221481247
"{'eyeAct': 'neutral', 'uAct': 'frown', 'uPow': 1.0, 'lAct': 'smile', 'lPow': 0.65, 'time': 1683167633.0551}",2023-05-03 19:33:53.075201+00:00,500.4742563561665 499.86174221481247
"{'mot': [44, 0, 0.560108, 0.390625, 0.484375, -0.546875, 1.000015, 0.156252, -0.187503, -76.563667, -22.911499, 38.281834], 'time': 1683167633.0863}",2023-05-03 19:33:53.113838+00:00,500.4742563561665 499.86174221481247
"{'mot': [45, 0, 0.953253, -0.046875, 0.296875, 0.03125, 1.000015, 0.156252, -0.187503, -76.563667, -20.620348, 38.281834], 'time': 1683167633.1019}",2023-05-03 19:33:53.113974+00:00,500.4742563561665 499.86174221481247
"{'eyeAct': 'neutral', 'uAct': 'frown', 'uPow': 1.0, 'lAct': 'smile', 'lPow': 0.65, 'time': 1683167633.0863}",2023-05-03 19:33:53.114068+00:00,500.4742563561665 499.86174221481247
"{'mot': [46, 0, 0.902741, 0.03125, 0.421875, -0.078125, 0.968765, 0.156252, -0.187503, -76.563667, -22.386497, 38.281834], 'time': 1683167633.1176}",2023-05-03 19:33:53.134038+00:00,500.4742563561665 499.86174221481247
"{'mot': [47, 0, 0.573248, 0.390625, 0.46875, -0.546875, 0.968765, 0.156252, -0.218753, -76.563667, -23.97603, 38.281834], 'time': 1683167633.1332}",2023-05-03 19:33:53.134166+00:00,500.4742563561665 499.86174221481247
"{'eyeAct': 'neutral', 'uAct': 'frown', 'uPow': 1.0, 'lAct': 'smile', 'lPow': 0.65, 'time': 1683167633.1176}",2023-05-03 19:33:53.134252+00:00,500.4742563561665 499.86174221481247
"{'mot': [48, 0, 0.904362, -0.0625, 0.421875, 0.015625, 1.000015, 0.156252, -0.218753, -76.563667, -25.40661, 38.281834], 'time': 1683167633.1488}",2023-05-03 19:33:53.173597+00:00,500.4742563561665 499.86174221481247
"{'mot': [49, 0, 0.661991, 0.296875, 0.53125, -0.4375, 1.000015, 0.125002, -0.218753, -76.563667, -26.694134, 38.281834], 'time': 1683167633.1644}",2023-05-03 19:33:53.173726+00:00,500.4742563561665 499.86174221481247
"{'eyeAct': 'neutral', 'uAct': 'frown', 'uPow': 1.0, 'lAct': 'smile', 'lPow': 0.65, 'time': 1683167633.1488}",2023-05-03 19:33:53.173808+00:00,500.4742563561665 499.86174221481247
"{'mot': [50, 0, 0.734042, 0.125, 0.625, -0.234375, 1.000015, 0.156252, -0.218753, -76.563667, -27.852903, 38.281834], 'time': 1683167633.1801}",2023-05-03 19:33:53.214530+00:00,500.4742563561665 499.86174221481247
"{'mot': [51, 0, 0.681615, 0.40625, 0.296875, -0.53125, 1.000015, 0.125002, -0.187503, -76.563667, -25.067614, 38.281834], 'time': 1683167633.1957}",2023-05-03 19:33:53.214661+00:00,500.4742563561665 499.86174221481247
"{'mot': [52, 0, 0.790878, 0.046875, 0.59375, -0.140625, 0.968765, 0.156252, -0.187503, -76.563667, -22.560852, 38.281834], 'time': 1683167633.2113}",2023-05-03 19:33:53.214764+00:00,500.4742563561665 499.86174221481247
"{'pow': [5.55, 9.662, 3.996, 1.906, 0.744, 4.628, 1.775, 0.706, 0.497, 0.196, 9.524, 8.596, 4.451, 2.294, 0.683, 6.441, 9.851, 4.351, 2.687, 0.571, 4.568, 11.372, 2.859, 2.386, 0.477], 'time': 1683167633.1801}",2023-05-03 19:33:53.214887+00:00,500.4742563561665 499.86174221481247
"{'eyeAct': 'neutral', 'uAct': 'frown', 'uPow': 1.0, 'lAct': 'smile', 'lPow': 0.65, 'time': 1683167633.1801}",2023-05-03 19:33:53.214972+00:00,500.4742563561665 499.86174221481247
"{'eyeAct': 'neutral', 'uAct': 'frown', 'uPow': 1.0, 'lAct': 'smile', 'lPow': 0.65, 'time': 1683167633.2113}",2023-05-03 19:33:53.215057+00:00,500.4742563561665 499.86174221481247
"{'mot': [53, 0, 0.715345, 0.375, 0.3125, -0.5, 1.000015, 0.156252, -0.187503, -76.563667, -20.304768, 38.281834], 'time': 1683167633.2269}",2023-05-03 19:33:53.254016+00:00,500.4742563561665 499.86174221481247
"{'mot': [54, 0, 0.75745, 0.078125, 0.625, -0.171875, 1.000015, 0.156252, -0.187503, -76.563667, -18.27429, 38.281834], 'time': 1683167633.2426}",2023-05-03 19:33:53.254214+00:00,500.4742563561665 499.86174221481247
"{'eyeAct': 'neutral', 'uAct': 'frown', 'uPow': 1.0, 'lAct': 'smile', 'lPow': 0.65, 'time': 1683167633.2426}",2023-05-03 19:33:53.254335+00:00,500.4742563561665 499.86174221481247
"{'mot': [55, 0, 0.826059, 0.3125, 0.234375, -0.40625, 0.968765, 0.156252, -0.187503, -76.563667, -16.446861, 38.281834], 'time': 1683167633.2582}",2023-05-03 19:33:53.294371+00:00,500.4742563561665 499.86174221481247
"{'mot': [56, 0, 0.752275, 0.234375, 0.5, -0.359375, 1.000015, 0.156252, -0.218753, -76.563667, -14.802175, 38.281834], 'time': 1683167633.2738}",2023-05-03 19:33:53.294525+00:00,500.4742563561665 499.86174221481247
"{'mot': [57, 0, 0.741982, 0.125, 0.609375, -0.25, 1.000015, 0.156252, -0.187503, -76.563667, -13.321958, 38.281834], 'time': 1683167633.2894}",2023-05-03 19:33:53.294633+00:00,500.4742563561665 499.86174221481247
"{'eyeAct': 'neutral', 'uAct': 'frown', 'uPow': 1.0, 'lAct': 'smile', 'lPow': 0.65, 'time': 1683167633.2738}",2023-05-03 19:33:53.294766+00:00,500.4742563561665 499.86174221481247
"{'mot': [58, 0, 0.622456, 0.421875, 0.34375, -0.5625, 1.000015, 0.156252, -0.187503, -76.563667, -11.989761, 38.281834], 'time': 1683167633.3051}",2023-05-03 19:33:53.314222+00:00,500.4742563561665 499.86174221481247
"{'pow': [5.235, 9.921, 3.636, 1.51, 0.654, 3.735, 1.572, 0.722, 0.489, 0.185, 9.115, 9.303, 3.299, 1.755, 0.573, 5.192, 9.508, 2.928, 2.072, 0.462, 4.375, 12.261, 2.384, 1.83, 0.407], 'time': 1683167633.3051}",2023-05-03 19:33:53.314404+00:00,500.4742563561665 499.86174221481247
"{'eyeAct': 'neutral', 'uAct': 'frown', 'uPow': 1.0, 'lAct': 'smile', 'lPow': 0.65, 'time': 1683167633.3051}",2023-05-03 19:33:53.314509+00:00,500.4742563561665 499.86174221481247
"{'mot': [59, 0, 0.919887, -0.015625, 0.390625, -0.03125, 1.000015, 0.156252, -0.218753, -76.563667, -14.618969, 38.281834], 'time': 1683167633.3207}",2023-05-03 19:33:53.354501+00:00,500.4742563561665 499.86174221481247
"{'mot': [60, 0, 0.764987, 0.203125, 0.515625, -0.328125, 0.968765, 0.156252, -0.187503, -76.563667, -13.157072, 38.281834], 'time': 1683167633.3363}",2023-05-03 19:33:53.354637+00:00,500.4742563561665 499.86174221481247
